FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
21,2012-11-02,Falcon 9,6151.4,GTO,CCAFS SLC 40,True Ocean,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,B1071,-80.57682,28.563197,1
22,2012-12-14,Falcon 9,12448.4,GEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,2.0,1,B1072,-80.57682,28.563197,1
23,2013-01-25,Falcon 9,3496.1,ES-L1,CCAFS SLC 40,None None,2,True,True,True,,2.0,1,B1073,-80.57682,28.563197,0
24,2013-03-08,Falcon 9,4707.7,VLEO,CCAFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb267a34e7c7,2.0,3,B1074,-80.57682,28.563197,1
25,2013-04-19,Falcon 9,7737.5,GTO,VAFB SLC 4E,True ASDS,4,True,True,True,5e9e3032383ecb267a34e7c7,2.0,3,B1075,-120.610746,34.632834,1
26,2013-05-31,Falcon 9,7389.0,ISS,CCAFS SLC 40,False Ocean,2,True,True,True,,2.0,1,B1076,-80.57682,28.563197,0
27,2013-07-12,Falcon 9,11523.1,PO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,2.0,1,B1077,-80.646895,28.573255,1
28,2013-08-23,Falcon 9,6089.8,ISS,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,2.0,1,B1078,-80.57682,28.563197,1
29,2013-10-04,Falcon 9,10394.5,ISS,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb267a34e7c7,2.0,2,B1079,-80.646895,28.573255,1
30,2013-11-15,Falcon 9,4720.6,PO,KSC LC 39A,None None,3,True,True,True,,2.0,2,B1050,-80.646895,28.573255,0
31,2013-12-27,Falcon 9,2626.6,ISS,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,0,B1051,-120.610746,34.632834,1
32,2014-02-07,Falcon 9,0.0,VLEO,KSC LC 39A,True RTLS,5,True,True,True,5e9e3032383ecb267a34e7c7,2.0,4,B1052,-80.646895,28.573255,1
33,2014-03-21,Falcon 9,8935.3,GTO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,0,B1053,-120.610746,34.632834,1
34,2014-05-02,Falcon 9,2375.3,SSO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,0,B1054,-80.57682,28.563197,1
35,2014-06-13,Falcon 9,2241.7,SSO,KSC LC 39A,True Ocean,3,True,True,True,5e9e3032383ecb267a34e7c7,2.0,2,B1055,-80.646895,28.573255,1
36,2014-07-25,Falcon 9,7464.6,ISS,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb267a34e7c7,2.0,3,B1056,-80.646895,28.573255,1
37,2014-09-05,Falcon 9,12512.1,SSO,CCAFS SLC 40,None None,2,True,True,True,,2.0,1,B1057,-80.57682,28.563197,0
38,2014-10-17,Falcon 9,4896.6,VLEO,VAFB SLC 4E,None None,4,True,True,True,,2.0,3,B1058,-120.610746,34.632834,0
39,2014-11-28,Falcon 9,6577.9,GTO,KSC LC 39A,None None,3,True,True,True,,2.0,2,B1059,-80.646895,28.573255,0
40,2015-01-09,Falcon 9,4998.3,PO,CCAFS SLC 40,None None,2,True,True,True,,2.0,1,B1060,-80.57682,28.563197,0
41,2015-02-20,Falcon 9,11857.4,GTO,VAFB SLC 4E,True RTLS,4,True,True,True,5e9e3032383ecb267a34e7c7,2.0,3,B1061,-120.610746,34.632834,1
42,2015-04-03,Falcon 9,5683.0,GTO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,2.0,1,B1062,-80.57682,28.563197,1
43,2015-05-15,Falcon 9,5803.4,GTO,CCAFS SLC 40,False Ocean,2,True,True,True,,2.0,1,B1063,-80.57682,28.563197,0
44,2015-06-26,Falcon 9,4355.0,LEO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3032383ecb267a34e7c7,3.0,2,B1064,-120.610746,34.632834,1
45,2015-08-07,Falcon 9,4011.3,VLEO,CCAFS SLC 40,None None,1,True,False,True,,3.0,0,B1065,-80.57682,28.563197,0
46,2015-09-18,Falcon 9,8236.4,ISS,KSC LC 39A,True Ocean,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1066,-80.646895,28.573255,1
47,2015-10-30,Falcon 9,1967.3,SSO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1067,-80.57682,28.563197,1
48,2015-12-11,Falcon 9,4287.1,GTO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb267a34e7c7,3.0,2,B1068,-80.646895,28.573255,1
49,2016-01-22,Falcon 9,10321.8,ISS,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1069,-120.610746,34.632834,1
50,2016-03-04,Falcon 9,12500.3,VLEO,CCAFS SLC 40,False ASDS,4,True,True,True,,3.0,3,B1070,-80.57682,28.563197,0
51,2016-04-15,Falcon 9,10722.0,ISS,CCAFS SLC 40,None None,2,True,True,True,,3.0,1,B1071,-80.57682,28.563197,0
52,2016-05-27,Falcon 9,9931.9,GTO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb267a34e7c7,3.0,3,B1072,-80.646895,28.573255,1
53,2016-07-08,Falcon 9,8167.2,GTO,KSC LC 39A,None None,2,True,True,True,,3.0,1,B1073,-80.646895,28.573255,0
54,2016-08-19,Falcon 9,10393.0,ISS,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1074,-80.646895,28.573255,1
55,2016-09-30,Falcon 9,3640.2,VLEO,CCAFS SLC 40,None None,3,True,True,True,,3.0,2,B1075,-80.57682,28.563197,0
56,2016-11-11,Falcon 9,7173.1,GTO,CCAFS SLC 40,True Ocean,1,True,False,True,5e9e3032383ecb267a34e7c7,3.0,0,B1076,-80.57682,28.563197,1
57,2016-12-23,Falcon 9,9863.8,GTO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1077,-80.57682,28.563197,1
58,2017-02-03,Falcon 9,8462.7,ISS,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1078,-80.57682,28.563197,1
59,2017-03-17,Falcon 9,7552.4,MEO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1079,-80.57682,28.563197,1
60,2017-04-28,Falcon 9,10767.6,GTO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1050,-80.57682,28.563197,1
61,2017-06-09,Falcon 9,5595.9,PO,KSC LC 39A,True ASDS,3,True,True,True,5e9e3032383ecb267a34e7c7,3.0,2,B1051,-80.646895,28.573255,1
62,2017-07-21,Falcon 9,10482.9,GTO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1052,-120.610746,34.632834,1
63,2017-09-01,Falcon 9,7443.4,GTO,KSC LC 39A,True RTLS,3,True,True,True,5e9e3032383ecb267a34e7c7,3.0,2,B1053,-80.646895,28.573255,1
64,2017-10-13,Falcon 9,12121.9,MEO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1054,-120.610746,34.632834,1
65,2017-11-24,Falcon 9,9786.0,GTO,KSC LC 39A,True Ocean,2,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1,B1055,-80.646895,28.573255,1
66,2018-01-05,Falcon 9,7014.7,GTO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,4.0,1,B1056,-80.57682,28.563197,1
67,2018-02-16,Falcon 9,1454.6,ISS,KSC LC 39A,None None,4,True,True,True,,4.0,3,B1057,-80.646895,28.573255,0
68,2018-03-30,Falcon 9,1797.3,VLEO,VAFB SLC 4E,False ASDS,2,True,True,True,,4.0,1,B1058,-120.610746,34.632834,0
69,2018-05-11,Falcon 9,2520.0,GTO,KSC LC 39A,None None,3,True,True,True,,4.0,2,B1059,-80.646895,28.573255,0
70,2018-06-22,Falcon 9,5391.0,MEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,4.0,1,B1060,-80.57682,28.563197,1
71,2018-08-03,Falcon 9,6627.9,VLEO,CCAFS SLC 40,False ASDS,1,True,False,True,,4.0,0,B1061,-80.57682,28.563197,0
72,2018-09-14,Falcon 9,8453.5,ISS,VAFB SLC 4E,None None,3,True,True,True,,4.0,2,B1062,-120.610746,34.632834,0
73,2018-10-26,Falcon 9,3350.8,VLEO,VAFB SLC 4E,None ASDS,1,True,False,True,,4.0,0,B1063,-120.610746,34.632834,0
74,2018-12-07,Falcon 9,6683.3,SO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,0,B1064,-80.57682,28.563197,1
75,2019-01-18,Falcon 9,6564.2,ISS,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,0,B1065,-80.57682,28.563197,1
76,2019-03-01,Falcon 9,3359.2,GTO,CCAFS SLC 40,None None,1,True,False,True,,4.0,0,B1066,-80.57682,28.563197,0
77,2019-04-12,Falcon 9,5819.9,SSO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,4.0,1,B1067,-80.646895,28.573255,1
78,2019-05-24,Falcon 9,6458.3,VLEO,KSC LC 39A,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,4.0,1,B1068,-80.646895,28.573255,1
79,2019-07-05,Falcon 9,1266.2,ISS,KSC LC 39A,True ASDS,5,True,True,True,5e9e3032383ecb267a34e7c7,4.0,4,B1069,-80.646895,28.573255,1
80,2019-08-16,Falcon 9,12146.2,GTO,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,4.0,1,B1070,-80.57682,28.563197,1
81,2019-09-27,Falcon 9,10963.8,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,0,B1071,-80.646895,28.573255,1
82,2019-11-08,Falcon 9,6567.8,VLEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb267a34e7c7,4.0,2,B1072,-80.57682,28.563197,1
83,2019-12-20,Falcon 9,6123.2,LEO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb267a34e7c7,4.0,0,B1073,-80.646895,28.573255,1
84,2020-01-31,Falcon 9,1595.0,PO,VAFB SLC 4E,False ASDS,1,True,False,True,,4.0,0,B1074,-120.610746,34.632834,0
85,2020-03-13,Falcon 9,5851.2,LEO,CCAFS SLC 40,None None,3,True,True,True,,4.0,2,B1075,-80.57682,28.563197,0
86,2020-04-24,Falcon 9,8034.8,ISS,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,4.0,1,B1076,-80.57682,28.563197,1
87,2020-06-05,Falcon 9,3199.6,ISS,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb267a34e7c7,4.0,2,B1077,-80.57682,28.563197,1
88,2020-07-17,Falcon 9,8219.0,ISS,CCAFS SLC 40,None None,3,True,True,True,,5.0,2,B1078,-80.57682,28.563197,0
89,2020-08-28,Falcon 9,7061.2,LEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb267a34e7c7,5.0,1,B1079,-80.57682,28.563197,1
90,2020-10-09,Falcon 9,2317.9,LEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0,B1050,-80.57682,28.563197,1
