DATE,Time (UTC),Booster_Version,Launch_Site,PAYLOAD_MASS__KG_,Orbit,Customer,Mission_Outcome,Landing _Outcome
2016-03-04,00:00:00,F9 FT B1070,CCAFS SLC-40,12500,VLEO,Iridium,Failure,False ASDS
2016-04-15,00:00:00,F9 FT B1071,CCAFS SLC-40,10722,ISS,SES,Failure,None None
2016-05-27,00:00:00,F9 FT B1072,KSC LC-39A,9931,GTO,SES,Success,True ASDS
2016-07-08,00:00:00,F9 FT B1073,KSC LC-39A,8167,GTO,USAF,Failure,None None
2016-08-19,00:00:00,F9 FT B1074,KSC LC-39A,10393,ISS,NASA (CRS),Success,True ASDS
2016-09-30,00:00:00,F9 FT B1075,CCAFS SLC-40,3640,VLEO,USAF,Failure,None None
2016-11-11,00:00:00,F9 FT B1076,CCAFS SLC-40,7173,GTO,USAF,Success,True Ocean
2016-12-23,00:00:00,F9 FT B1077,CCAFS SLC-40,9863,GTO,NASA (ISS),Success,True RTLS
2017-02-03,00:00:00,F9 FT B1078,CCAFS SLC-40,8462,ISS,SES,Success,True ASDS
2017-03-17,00:00:00,F9 FT B1079,CCAFS SLC-40,7552,MEO,SpaceX,Success,True RTLS
2017-04-28,00:00:00,F9 FT B1050,CCAFS SLC-40,10767,GTO,SpaceX,Success,True RTLS
2017-06-09,00:00:00,F9 FT B1051,KSC LC-39A,5595,PO,USAF,Success,True ASDS
2017-07-21,00:00:00,F9 FT B1052,VAFB SLC-4E,10482,GTO,USAF,Success,True ASDS
2017-09-01,00:00:00,F9 FT B1053,KSC LC-39A,7443,GTO,SES,Success,True RTLS
2017-10-13,00:00:00,F9 FT B1054,VAFB SLC-4E,12121,MEO,NASA (ISS),Success,True RTLS
2017-11-24,00:00:00,F9 FT B1055,KSC LC-39A,9786,GTO,Iridium,Success,True Ocean
2018-01-05,00:00:00,F9 FT B1056,CCAFS SLC-40,7014,GTO,SpaceX,Success,True ASDS
2018-02-16,00:00:00,F9 FT B1057,KSC LC-39A,1454,ISS,SpaceX,Failure,None None
2018-03-30,00:00:00,F9 FT B1058,VAFB SLC-4E,1797,VLEO,NASA (CRS),Failure,False ASDS
2018-05-11,00:00:00,F9 FT B1059,KSC LC-39A,2520,GTO,SpaceX,Failure,None None
2018-06-22,00:00:00,F9 FT B1060,CCAFS SLC-40,5391,MEO,USAF,Success,True ASDS
2018-08-03,00:00:00,F9 FT B1061,CCAFS SLC-40,6627,VLEO,USAF,Failure,False ASDS
2018-09-14,00:00:00,F9 FT B1062,VAFB SLC-4E,8453,ISS,USAF,Failure,None None
2018-10-26,00:00:00,F9 FT B1063,VAFB SLC-4E,3350,VLEO,USAF,Failure,None ASDS
2018-12-07,00:00:00,F9 FT B1064,CCAFS SLC-40,6683,SO,USAF,Success,True ASDS
2019-01-18,00:00:00,F9 FT B1065,CCAFS SLC-40,6564,ISS,NASA (CRS),Success,True ASDS
2019-03-01,00:00:00,F9 FT B1066,CCAFS SLC-40,3359,GTO,USAF,Failure,None None
2019-04-12,00:00:00,F9 FT B1067,KSC LC-39A,5819,SSO,NASA (ISS),Success,True ASDS
2019-05-24,00:00:00,F9 FT B1068,KSC LC-39A,6458,VLEO,SES,Success,True RTLS
2019-07-05,00:00:00,F9 FT B1069,KSC LC-39A,1266,ISS,Iridium,Success,True ASDS
2019-08-16,00:00:00,F9 FT B1070,CCAFS SLC-40,12146,GTO,USAF,Success,True RTLS
2019-09-27,00:00:00,F9 FT B1071,KSC LC-39A,10963,GTO,SpaceX,Success,True ASDS
2019-11-08,00:00:00,F9 FT B1072,CCAFS SLC-40,6567,VLEO,SES,Success,True ASDS
2019-12-20,00:00:00,F9 FT B1073,KSC LC-39A,6123,LEO,SES,Success,True ASDS
2020-01-31,00:00:00,F9 FT B1074,VAFB SLC-4E,1595,PO,USAF,Failure,False ASDS
2020-03-13,00:00:00,F9 FT B1075,CCAFS SLC-40,5851,LEO,SpaceX,Failure,None None
2020-04-24,00:00:00,F9 FT B1076,CCAFS SLC-40,8034,ISS,NASA (CRS),Success,True ASDS
2020-06-05,00:00:00,F9 FT B1077,CCAFS SLC-40,3199,ISS,NASA (ISS),Success,True ASDS
2020-07-17,00:00:00,F9 B5 B1078,CCAFS SLC-40,8219,ISS,SES,Failure,None None
2020-08-28,00:00:00,F9 B5 B1079,CCAFS SLC-40,7061,LEO,NASA (ISS),Success,True ASDS
2020-10-09,00:00:00,F9 B5 B1050,CCAFS SLC-40,2317,LEO,SpaceX,Success,True ASDS
