Launch Site,Lat,Long,class,Payload Mass (kg),Booster Version,Booster Version Category
CCAFS SLC-40,28.563197,-80.57682,1,5683.0,F9 v1.0,v1.1
CCAFS SLC-40,28.563197,-80.57682,0,5803.4,F9 v1.0,v1.1
VAFB SLC-4E,34.632834,-120.610746,1,4355.0,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,0,4011.3,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,1,8236.4,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,1,1967.3,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,1,4287.1,F9 FT,FT
VAFB SLC-4E,34.632834,-120.610746,1,10321.8,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,0,12500.3,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,0,10722.0,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,1,9931.9,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,0,8167.2,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,1,10393.0,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,0,3640.2,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,1,7173.1,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,1,9863.8,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,1,8462.7,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,1,7552.4,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,1,10767.6,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,1,5595.9,F9 FT,FT
VAFB SLC-4E,34.632834,-120.610746,1,10482.9,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,1,7443.4,F9 FT,FT
VAFB SLC-4E,34.632834,-120.610746,1,12121.9,F9 FT,FT
KSC LC-39A,28.573255,-80.646895,1,9786.0,F9 FT,FT
CCAFS SLC-40,28.563197,-80.57682,1,7014.7,F9 FT,B4
KSC LC-39A,28.573255,-80.646895,0,1454.6,F9 FT,B4
VAFB SLC-4E,34.632834,-120.610746,0,1797.3,F9 FT,B4
KSC LC-39A,28.573255,-80.646895,0,2520.0,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,1,5391.0,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,0,6627.9,F9 FT,B4
VAFB SLC-4E,34.632834,-120.610746,0,8453.5,F9 FT,B4
VAFB SLC-4E,34.632834,-120.610746,0,3350.8,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,1,6683.3,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,1,6564.2,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,0,3359.2,F9 FT,B4
KSC LC-39A,28.573255,-80.646895,1,5819.9,F9 FT,B4
KSC LC-39A,28.573255,-80.646895,1,6458.3,F9 FT,B4
KSC LC-39A,28.573255,-80.646895,1,1266.2,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,1,12146.2,F9 FT,B4
KSC LC-39A,28.573255,-80.646895,1,10963.8,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,1,6567.8,F9 FT,B4
KSC LC-39A,28.573255,-80.646895,1,6123.2,F9 FT,B4
VAFB SLC-4E,34.632834,-120.610746,0,1595.0,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,0,5851.2,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,1,8034.8,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,1,3199.6,F9 FT,B4
CCAFS SLC-40,28.563197,-80.57682,0,8219.0,F9 B5,B5
CCAFS SLC-40,28.563197,-80.57682,1,7061.2,F9 B5,B5
CCAFS SLC-40,28.563197,-80.57682,1,2317.9,F9 B5,B5
